Company,Geography, Excel ID 
"Black Peony (Group) Co., Ltd.",APAC,IQ9647409
Taizhou City Construction Investment Group Company Limited,APAC,IQ109654348
"Jiande State-Owned Assets Management Co.,Ltd.",APAC,IQ544732498
Solargiga Energy Holdings Limited,APAC,IQ40085586
"Xiamen Financial Investment Group Co., Ltd.",APAC,IQ302511025
"Guizhou Shuanglong Airport Development Investment (Group) Co.,Ltd.",APAC,IQ599860450
"Dare Power Dekor Home Co.,Ltd.",APAC,IQ5397661
"Longzhou Group Co., Ltd.",APAC,IQ204822467
"Lets Holdings Group Co., Ltd.",APAC,IQ100851434
"Guangdong Tapai Group Co., Ltd.",APAC,IQ44679216
"Suzhou Chuangyuan Investment Development (Group) Co., Ltd.",APAC,IQ23298421
"China Wuyi Co., Ltd.",APAC,IQ5663015
"Tangshan Culture & Tourism Investment Group Co., Ltd.",APAC,IQ224107642
"Fuzhou City Construction Development Group Co.,Ltd.",APAC,IQ417964987
"Shaanxi Construction Machinery Co.,Ltd",APAC,IQ20359429
"Tengda Construction Group Co., Ltd.",APAC,IQ11313423
"Palm Eco-Town Development Co., Ltd",APAC,IQ106416156
Shanghai New World Holding Company Limited,APAC,IQ104597817
Lion Industries Corporation Berhad,APAC,IQ2481325
Pangang Group Company Limited,APAC,IQ5637272
"Nanjing Pukou Kangju Construction Group Co., Ltd.",APAC,IQ421873034
"Suzhou Hi-Tech State-owned Assets Management Group Co.,Ltd",APAC,IQ304226155
"Taiyuan Longcheng Development & Investment Co.,Ltd",APAC,IQ217604320
"Urumqi Economic Technological Development District Construction Investment Development (Group) Co.,L",APAC,IQ158353622
"Tecnon Electronics Co., Ltd.",APAC,IQ278500503
Bonava AB (publ),EMEA,IQ331037556
Algoma Steel Group Inc.,N. America,IQ381324
"Nanchang Industrial Investment Group Co.,Ltd.",APAC,IQ41862944
West Holdings Corporation,APAC,IQ25873509
"Yida Development Co., Limited",APAC,IQ276292298
"Xiamen Iport Group Co., Ltd.",APAC,IQ22515013
Shun Tak Holdings Limited,APAC,IQ875315
Sorin Corporation,APAC,IQ5525709
"Tang Eng Iron Works Co., Ltd.",APAC,IQ22128258
"Shanghai Jinmao Investment Management Group Co., Ltd.",APAC,IQ318414731
"Qingdao Chengyang Development and Investment Group Co.,Ltd.",APAC,IQ260658080
"Yunnan Provincial Energy Group Co., Ltd.",APAC,IQ206747356
Valterra Platinum Limited,EMEA,IQ873862
"Huafu Fashion Co., Ltd.",APAC,IQ22277461
"Daehan Steel Co., Ltd.",APAC,IQ5705224
"Fujian Sanmu Group Co., Ltd.",APAC,IQ6469704
"Shanghai Supezet Engineering Technology Corp., Ltd.",APAC,IQ702490642
SuZhou Sungent Holding Group Co.Ltd.,APAC,IQ413288040
T3EX Global Holdings Corp.,APAC,IQ33874442
Murray & Roberts Holdings Limited,EMEA,IQ875202
"Central Glass Co., Ltd.",APAC,IQ876777
"Shanghai Tongji Science&Technology Industrial Co.,Ltd",APAC,IQ5755120
"Jining Yanzhou Urban Construction Investment Co.,Ltd",APAC,IQ216146782
"CCS Supply Chain Management Co., Ltd.",APAC,IQ165432495
Powerlong Real Estate Holdings Limited,APAC,IQ34876466
"Taixing Zhongxing State-owned Assets Management and Investment Group Co., Ltd.",APAC,IQ183229992
West Fraser Timber Co. Ltd.,N. America,IQ643621
Melrose Industries PLC,EMEA,IQ8539114
Wuling Motors Holdings Limited,APAC,IQ7652965
Pruksa Holding Public Company Limited,APAC,IQ13526453
"Beijing Capital Development Holding (Group) Co., Ltd",APAC,IQ34955155
China Railway Materials Company Limited,APAC,IQ677067659
"Zhuhai Transportation Group Co.,Ltd.",APAC,IQ172305177
"Suzhou Gold Mantis Construction Decoration Co., Ltd.",APAC,IQ29948682
"Guangxi Xijiang Development & Investment Group Co.,Ltd",APAC,IQ182201343
